timestamp,open,high,low,close
1713744000000,17126.499,17126.499,17117.176,17118.686
1713744300000,17119.031,17126.61,17117.765,17119.808
1713744600000,17119.286,17120.899,17112.731,17119.676
1713744900000,17119.564,17126.199,17117.954,17121.986
1713745200000,17121.775,17125.189,17119.509,17123.476
1713745500000,17123.799,17124.997,17114.42,17114.987
1713745800000,17115.664,17115.889,17106.931,17108.676
1713746100000,17108.531,17111.299,17082.997,17087.643
1713746400000,17087.764,17090.165,17056.775,17072.476
1713746700000,17072.743,17090.965,17072.275,17088.52
1713747000000,17088.889,17089.708,17067.597,17089.708
1713747300000,17089.586,17089.719,17072.732,17074.742
1713747600000,17074.508,17082.989,17072.042,17075.553
1713747900000,17075.286,17097.743,17069.997,17097.543
1713748200000,17098.799,17110.564,17096.631,17100.62
1713748500000,17100.553,17104.798,17087.989,17095.154
1713748800000,17095.076,17104.054,17092.954,17094.687
1713749100000,17094.597,17094.597,17080.565,17089.554
1713749400000,17089.508,17097.289,17082.764,17083.819
1713749700000,17085.389,17093.542,17076.276,17078.476
1713750000000,17078.643,17087.799,17076.975,17086.619
1713750300000,17086.675,17096.699,17086.487,17091.709
1713750600000,17092.119,17099.475,17088.219,17089.499
1713750900000,17089.299,17105.664,17089.109,17103.686
1713751200000,17104.286,17106.61,17097.132,17101.153
1713751500000,17101.499,17107.487,17097.286,17102.41
1713751800000,17101.798,17105.999,17098.02,17098.564
1713752100000,17098.808,17108.931,17096.631,17105.498
1713752400000,17105.631,17113.564,17105.065,17107.154
1713752700000,17106.798,17109.11,17102.21,17107.389
1713753000000,17107.232,17111.064,17104.721,17104.721
1713753300000,17104.708,17105.475,17096.753,17099.009
1713753600000,17098.532,17101.286,17093.021,17093.187
1713753900000,17093.265,17098.199,17092.009,17095.443
1713754200000,17095.276,17098.299,17092.509,17095.609
1713754500000,17095.709,17098.699,17095.165,17097.054
1713754800000,17097.153,17102.199,17096.186,17101.61
1713755100000,17101.987,17104.899,17099.076,17100.319
1713755400000,17100.498,17103.699,17099.553,17102.019
1713755700000,17102.119,17105.498,17101.731,17104.454
1713756000000,17104.742,17107.899,17104.487,17106.108
1713756300000,17105.975,17108.221,17101.51,17102.709
1713756600000,17102.72,17104.931,17091.997,17094.621
1713756900000,17094.731,17099.299,17093.21,17097.575
1713757200000,17097.621,17099.575,17091.542,17093.508
1713757500000,17093.175,17098.999,17092.643,17097.775
1713757800000,17097.631,17102.499,17097.476,17098.732
1713758100000,17098.719,17099.454,17095.008,17095.675
1713758400000,17095.575,17099.108,17092.732,17097.442
1713758700000,17097.221,17099.319,17095.72,17095.742
1713759000000,17096.087,17099.799,17095.421,17099.054
1713759300000,17098.775,17100.609,17096.709,17099.019
1713759600000,17099.098,17100.164,17096.587,17098.631
1713759900000,17098.264,17107.399,17098.098,17107.276
1713760200000,17107.098,17118.975,17106.721,17113.675
1713760500000,17113.764,17117.509,17112.797,17116.775
1713760800000,17116.52,17119.498,17113.643,17118.92
1713761100000,17118.508,17122.532,17117.121,17120.087
1713761400000,17120.11,17124.297,17118.231,17122.165
1713761700000,17122.699,17123.009,17119.421,17121.432
1713762000000,17121.221,17122.489,17115.298,17118.231
1713762300000,17118.031,17121.686,17113.231,17114.153
1713762600000,17113.989,17118.797,17113.643,17115.532
1713762900000,17115.508,17118.497,17113.554,17113.789
1713763200000,17113.698,17123.075,17110.542,17119.72
1713763500000,17121.132,17123.576,17118.465,17120.91
1713763800000,17120.453,17126.899,17119.576,17125.586
1713764100000,17125.487,17128.489,17123.932,17126.764
